Name,High School Attended,Hometown,Position,Rating
Josh Robinson,Plantation High School,"Plantation, FL",#39 ATH,79
Stan Hasiak,Kapolei High School,"Kapolei, HI",#14 OG,79
Allan Bridgford,Mission Viejo High School,"Mission Viejo, CA",#20 QB,79
Keni Kaufusi,Cottonwood High School,"Salt Lake City, UT",DT(LQ),79
Lance Ray,East Gadsden High School,"Havana, FL",#34 ATH,79
Ronnie Wingo,Saint Louis University High,"Saint Louis, MO",#34 RB,79
Taimi Tutogi,Chula Vista High School,"Chula Vista, CA",#4 FB,79
Trevor Erno,Lakewood High School,"Lakewood, CA",#7 ILB,79
Adam Hall,Palo Verde High School,"Tucson, AZ",#31 ATH,79
Chance Warmack,Westlake High School,"Atlanta, GA",#16 OG,79
Brandon  Moore,Carver High School,"Montgomery, AL",#30 DT,79
Darrington Sentimore,Destrehan High School,"Destrehan, LA",#20 DT,79
Quinton Dial,Clay-Chalkville High School,"Pinson, AL",#28 DT,79
Brock Sanders,Northview High School,"Duluth, GA",#10 TE,79
Lawrence Abrams,Bob Jones High School,"Madison, AL",#23 OT,79
Carlos Hyde,Naples High School,"Naples, FL",#31 RB,79
James Jackson,Grand Ledge High School,"Grand Ledge, MI",#30 WR,79
LaAdrian Waddle,Columbus High School,"Columbus, TX",#19 OT,79
Eric Ward,Rider High School,"Wichita Falls, TX",#34 WR,79
Kyle Clark,John H. Guyer High School,"Denton, TX",#21 OT,79
Zach Ertz,Monte Vista High School,"Danville, CA",#9 TE,79
Levine Toilolo,Helix High School,"San Diego, CA",#14 TE,79
Terrence Stephens,Quince Orchard High School,"Gaithersburg, MD",#29 DT,79
Mike Loftus,Servite High School,"Anaheim, CA",#8 K,79
Isaac Holmes,Hoboken High School,"Hoboken, NJ",#27 DT,79
De'Antwan Williams,Woodbridge High School,"Woodbridge, VA",#38 RB,79
Jamal Merrell,Paul M. Hodgson Voc-Tech H.S.,"Newark, DE",#35 ATH,79
Andre Brackens,Parish Episcopal School,"Dallas, TX",#21 CB,79
Eric McDaniel,Calhoun High School,"Calhoun, GA",#26 DT,79
Ty Howle,Bunn High School,"Bunn, NC",#5 OC,79
Jeremy Smith,Tulsa Union High School,"Tulsa, OK",#26 RB,79
Daytawion Lowe,Carl Albert High School,"Midwest City, OK",#26 S,79
Patrick Ward,Providence Catholic High School,"New Lenox, IL",#18 OT,79
Raynard Randolph,Gwynn Park High School,"Brandywine, MD",#23 DT,79
Cameron Lawrence,Magnolia Heights School,"Senatobia, MS",#41 ATH,79
Chris Norman,Renaissance High School,"Detroit, MI",#28 OLB,79
Dion Sims,Saint Mary's Prep School,"Orchard Lake, MI",#5 TE,79
Quan Fletcher,Dr. Krop High School,"Miami, FL",#9 ILB,79
Rocky Duplessis,Belle Chasse High School,"Belle Chasse, LA",S(LQ),79
Michael Brockers,Cesar E. Chavez High School,"Houston, TX",#24 DE,79
Thomas Ferguson,South Grand Prairie High School,"Grand Prairie, TX",#23 S,79
Mitch Ewald,Waubonsie Valley High School,"Aurora, IL",#4 K,79
Edward Wright-Baker,Jeffersonville High School,"Jeffersonville, IN",#37 ATH,79
J.C. Lanier,Emanuel County Institute,"Twin City, GA",#24 DT,79
Roderick  Sweeting,Luella High School,"Locust Grove, GA",#27 S,79
Izaan Cross,Flowery Branch High School,"Flowery Branch, GA",#28 DE,79
Daniel Drummond,Flowery Branch High School,"Flowery Branch, GA",#3 FB,79
Jordan Luallen,Center Grove High School,"Greenwood, IN",#23 QB,79
Lonnie Pryor,Okeechobee High School,"Okeechobee, FL",#30 RB,79
Chris Thompson,Madison County High,"Greenville, FL",#35 RB,79
C.J. Mizell,Leon High School,"Tallahassee, FL",#25 OLB,79
Willie Haulstead,Titusville High School,"Titusville, FL",#33 WR,79
John Drew,,"Columbus, GA",#21 DT,79
Corico Hawkins,Baldwin High School,"Milledgeville, GA",#10 ILB,79
Roderick McDowell,Sumter High School,"Sumter, SC",#25 RB,79
Quandon Christian,Lake View High School,"Lake View, SC",#22 OLB,79
Richard Wilson,Spanish Fork High School,"Spanish Fork, UT",#4 TE,79
Luke Kuechly,Saint Xavier High School,"Cincinnati, OH",#19 OLB,79
Charles Leno,San Leandro High School,"San Leandro, CA",#24 OT,79
Onterrio McCalebb,Hargrave Military Academy,"Fort Meade, FL",RB(POST),79
Tyrik Rollison,Sulphur Springs High,"Sulphur Springs, TX",#19 QB,79
LaVoyd James,Lillie B. Williamson High School,"Mobile, AL",#35 WR,79
Dee Ford,Saint Clair County High School,"Odenville, AL",#35 DE,79
Philip Lutzenkirchen,Lassiter High School,"Marietta, GA",#6 TE,79
Daniel Campbell,Hargrave Military Academy,"Houston, TX",#20 OT,79
Trabis Ward,Dillard High School,"Fort Lauderdale, FL",#27 RB,79
Kenny Cooper,Merced High School,"Merced, CA",#16 TE,79
Darrell Mason,Ursuline High School,"Youngstown, OH",#38 ATH,79
Willie Ferrell,Florida A&M Developmental Research School,"Tallahassee, FL",#6 ILB,79
Nathan Mayfield,Merced High School,"Merced, CA",#33 DE,79
James McCombie,Bishop Carroll High School,"Ebensburg, PA",#9 K,79
Mark Zielinski,New Trier High School,"Winnetka, IL",#31 OT,78
Tavon Austin,Dunbar High School,"Baltimore, MD",#41 RB,78
Stedman Bailey,Miramar High School,"Miramar, FL",#48 WR,78
Deon Long,Dunbar High School,"Washington, DC",#38 WR,78
Cole Bowers,Cabell Midland High School,"Ona, WV",#33 OT,78
Daquan Hargrett,Miami Northwestern High School,"Miami, FL",#56 RB,78
Brodrick  Jenkins,South Fort Myers High School,"Fort Myers, FL",#65 ATH,78
Zach Thompson,Stone Bridge High School,"Ashburn, VA",#44 DE,78
D.J. Coles,Fork Union Military Academy,"Goochland, VA",WR(POST),78
Eric Samuels,Umatilla High School,"Umatilla, FL",#42 RB,78
Wesley Johnson,Montgomery Bell Academy,"Nashville, TN",#31 OG,78
Darrius McMullin,Spain Park High School,"Birmingham, AL",#33 DT,78
Conor O'Neill,Saint Thomas Aquinas High School,"Fort Lauderdale, FL",#37 OLB,78
Shelby Harris,Homestead High School,"Mequon, WI",#37 DE,78
Jordan Kohout,Waupun High School,"Waupun, WI",#36 DT,78
Oday Aboushi,Xaverian High School,"Brooklyn, NY",#27 OT,78
