Name,High School Attended,Hometown,Position,Rating
Justin  Renfrow,William Penn Charter School,"Philadelphia, PA",#43 DE,78
Javanti Sparrow,Western Branch High School,"Chesapeake, VA",#41 S,78
Jake Snyder,Deep Run High School,"Glen Allen, VA",#41 DE,78
Stetson Burnett,MacArthur High School,"Lawton, OK",#29 OG,78
Richard Spencer,Rancho Verde High School,"Moreno Valley, CA",#35 S,78
Kenny Vaccaro,Brownwood High School,"Brownwood, TX",#42 S,78
Kyle Kriegel,Elysian Fields High School,"Elysian Fields, TX",#45 DE,78
Gregory Timmons,Dwight D. Eisenhower High School,"Houston, TX",#46 WR,78
Marsalis Teague,Henry County High School,"Paris, TN",#48 ATH,78
James Green,Leon High School,"Tallahassee, FL",#44 WR,78
JerQuari Schofield,Aiken High School,"Aiken, SC",#32 OT,78
Greg  King,Melrose High School,"Memphis, TN",#29 OLB,78
Gerald West,Faith Academy,"Mobile, AL",#24 CB,78
Lindsey  Lamar,Hillsborough High School,"Tampa, FL",#57 ATH,78
Jacquez Jenkins,Lakewood Senior High School,"Saint Petersburg, FL",#33 S,78
DeDe Lattimore,Cedar Shoals High School,"Athens, GA",#13 ILB,78
Adaris Bellamy,Dunedin High School,"Dunedin, FL",#43 RB,78
Matt Coffee,Fort Walton Beach High School,"Fort Walton Beach, FL",#56 ATH,78
Chaz Sutton,Fork Union Military Academy,"Savannah, GA",DE(POST),78
Justice Cunningham,Central High School,"Pageland, SC",#25 TE,78
Shane Gordon,Cypress Bay High School,"Weston, FL",#11 ILB,78
Jack Lippert,Central Dauphin High School,"Harrisburg, PA",#51 DE,78
Bernardo Nunez,Hoboken High School,"Hoboken, NJ",#47 DE,78
Brock DeCicco,Thomas Jefferson High School,"Jefferson Hills, PA",#18 TE,78
Jason Douglas,Cypress Bay High School,"Weston, FL",#40 RB,78
Tyler Evans,Strafford High School,"Strafford, MO",#25 OG,78
Javon Harris,MacArthur High School,"Lawton, OK",#32 S,78
Gabe Ikard,Bishop McGuinness High School,"Oklahoma City, OK",#19 TE,78
Jaydan Bird,Conway Springs High School,"Conway Springs, KS",#18 ILB,78
Theo Riddick,Immaculata High School,"Somerville, NJ",#48 ATH,78
Carlo Calabrese,Verona High School,"Verona, NJ",#12 ILB,78
Kevin Reddick,Hargrave Military Academy,"New Bern, NC",ILB(POST),78
Johnnie Farms,Perry High School,"Perry, GA",#26 OG,78
Hawatha Bell,Butler High School,"Matthews, NC",#17 ILB,78
Josh Hunter,Mallard Creek High School,"Charlotte, NC",#40 S,78
Justin Dixon,Smithfield-Selma Senior High,"Smithfield, NC",#46 OLB,78
Joshua Adams,Cheshire Academy,"Cambridge, MA",#37 WR,78
Derrell Person,Calvin Coolidge High School,"Washington, DC",#40 WR,78
Jordan Barrett,Notre Dame High School,"Sherman Oaks, CA",#16 ILB,78
Rex Burkhead,Plano Senior High School,"Plano, TX",#44 ATH,78
Jason  Ankrah,Quince Orchard High School,"Gaithersburg, MD",#48 DE,78
Dontrayevous Robinson,Trinity High School,"Euless, TX",#45 RB,78
Jack Meiners,Chaminade College Prep School,"Saint Louis, MO",#29 OT,78
Jaleel Clark,Parkland High School,"Allentown, PA",#41 WR,78
Darius Barksdale,Hargrave Military Academy,"Batesville, MS",RB(POST),78
Bobby Massie,Hargrave Military Academy,"Appomattox, VA",OT(POST),78
Andrew Ritter,Jackson Academy,"Jackson, MS",#11 K,78
Raymond Cotton,Meade High School,"Fort Meade, MD",#28 QB,78
Frank Crawford,Gulliver Prep School,"Miami, FL",#30 S,78
Dele Junaid,Hightower High School,"Fort Bend, TX",#36 S,78
Kendall Gregory-McGhee,Cherokee Trail High School,"Aurora, CO",#28 TE,78
Matt  Garin ,Eastview High School,"Apple Valley, MN",#40 DE,78
Teric Jones,Cass Technical High School,"Detroit, MI",#48 RB,78
Cameron Gordon,Inkster High School,"Inkster, MI",#62 ATH,78
Brandin Hawthorne,Pahokee High School,"Pahokee, FL",#39 OLB,78
Cory White,Fleming Island High School,"Orange Park, FL",#29 TE,78
A.J. Highsmith,Hightower High School,"Fort Bend, TX",#24 QB,78
Darin Drakeford,Roosevelt High School,"Washington, DC",#41 OLB,78
Marcus Whitfield,Northwest High School,"Germantown, MD",#44 OLB,78
Peter White,Saint John's College High School,"Washington, DC",#22 OG,78
Zach Kerr,Fork Union Military Academy,"Gaithersburg, MD",DT(POST),78
DeOnte Arnett,Forestville High School,"Forestville, MD",#53 DE,78
Donte Rumph,Fork Union Military Academy,"Saint Matthews, SC",#54 DE,78
Donald Russell,Dwyer High School,"Palm Beach Gardens, FL",#55 RB,78
Jarvis Walker,Archbishop Rummel School For Boys,"Metairie, LA",#43 S,78
Jordan Cotton,Mount Pleasant High School,"Mount Pleasant, IA",#45 WR,78
Akeem  Spence,Fort Walton Beach High School,"Fort Walton Beach, FL",#34 DT,78
Tyler Chambers,MacArthur High School,"Houston, TX",#24 TE,78
Broderick Thomas Jr.,James Madison High School,"Houston, TX",#59 ATH,78
Chad Lopati,Kapolei High School,"Kapolei, HI",#50 DE,78
Chase Vasser,Chestatee High School,"Gainesville, GA",#30 OLB,78
Kwame Geathers,Carvers Bay High School,"Carvers Bay, SC",#30 OG,78
Desmond Parks,Greer Senior High School,"Greer, SC",#22 TE,78
Dwayne Difton,Saint Thomas Aquinas High School,"Fort Lauderdale, FL",#47 WR,78
Angel Clybourn,Blair Academy,"Richland, NJ",#45 OLB,78
Chris Williams,Winton Woods High School,"Cincinnati, OH",#64 ATH,78
Taniela Maka,David Starr Jordan High School,"Long Beach, CA",#32 OLB,78
Isaiah Bowens,Bishop Amat High School,"La Puente, CA",#36 OLB,78
Nik Abele,Irvine High School,"Irvine, CA",#25 OT,78
Marlon Pollard,Cajon High School,"San Bernardino, CA",#25 CB,78
Alex Mascarenas,Mission Viejo High School,"Mission Viejo, CA",#47 ATH,78
Dalton Hilliard,Punahou School,"Honolulu, HI",#39 RB,78
Cobi Hamilton,Texas High School,"Texarkana, TX",#50 WR,78
Kevin Lowery,Gainesville High School,"Gainesville, FL",#28 OG,78
Jackson Powell,Newbury Park High School,"Newbury Park, CA",#46 DE,78
Chris Hubbard,Carver High School,"Columbus, GA",#21 OG,78
Reginald  Bryant,Cairo High School,"Cairo, GA",#46 RB,78
Darius McKeller,Jonesboro High School,"Jonesboro, GA",#30 OT,78
Anthony Steen,Lee Academy,"Clarksdale, MS",#39 DT,78
Kenny Bell,Rayville High School,"Rayville, LA",#49 WR,78
Anthony  Williams,Chamberlain High School,"Tampa, FL",#54 WR,78
Jordan Hall,Jeannette High School,"Jeannette, PA",#49 RB,78
Adam Bellamy,Aurora High School,"Aurora, OH",#35 DT,78
Chris Fields,Thomas W. Harvey High School,"Painesville, OH",#38 WR,78
Adam Homan,Coldwater High School,"Coldwater, OH",#15 ILB,78
Sam Longo,Bellbrook High School,"Bellbrook, OH",#27 OG,78
Eric Stephens,Timberview High School,"Mansfield, TX",#54 RB,78
Terrance Bullitt,Naaman Forest High School,"Garland, TX",#33 S,78
Tanner Brock,Copperas Cove High School,"Copperas Cove, TX",#43 OLB,78
Justin Isadore,Ozen High School,"Beaumont, TX",#38 OLB,78
Jurell Thompson,Rider High School,"Wichita Falls, TX",#60 ATH,78
Stephen Barrera,Clear Lake High School,"Houston, TX",#38 DT,78
Patrick Lewis,East Saint John High School,"Reserve, LA",#23 OG,78
Hutson Prioleau,All Saints Episcopal School,"Fort Worth, TX",#32 TE,78
Steven Terrell,Allen High School,"Allen, TX",#26 CB,78
Uzoma Nwachukwu,Allen High School,"Allen, TX",#36 WR,78
Kenric McNeal,Spring High School,"Spring, TX",#46 ATH,78
Brandall Jackson,Navasota High School,"Navasota, TX",#52 WR,78
Stepfan Taylor,Mansfield High School,"Mansfield, TX",#50 RB,78
Ryan Hewitt,J. K. Mullen High School,"Denver, CO",#21 TE,78
Jordan Najvar,Klein Oak High School,"Spring, TX",#20 TE,78
Khalil Wilkes,St. Peter's Prep,"Jersey City, NJ",#18 OG,78
Alvin Hines II,Pelham High School,"Pelham, AL",#30 S,78
Duron Harmon,Caesar Rodney High School,"Wyoming, DE",#48 ATH,78
Andre Civil,Sheepshead Bay High School,"Brooklyn, NY",#38 DE,78
Aaron Hayward,Penns Grove High School,"Carneys Point, NJ",#55 ATH,78
Antwon Higgs,Pompano Beach High School,"Pompano Beach, FL",#33 OLB,78
Gabe Holmes,Saint Thomas Aquinas High School,"Fort Lauderdale, FL",#26 TE,78
Sean Stanley,Gaithersburg Senior High School,"Gaithersburg, MD",#51 DE,78
Derrick Thomas,Eleanor Roosevelt High School,"Greenbelt, MD",#38 S,78
Mark Arcidiacono,Saint Joseph's Prep School,"Philadelphia, PA",#26 OT,78
Glenn Carson,Southern Regional High School,"Manahawkin, NJ",#14 ILB,78
Shawney Kersey,Woodbury High School,"Woodbury, NJ",#43 WR,78
Michael Philipp,Arroyo Valley High School,"San Bernardino, CA",#24 OG,78
Kyrell Hudson,Evergreen High School,"Vancouver, WA",#60 ATH,78
Jordan Barnes,Homestead High School,"Fort Wayne, IN",#19 ILB,78
Evan Watkins,Glenbard North High School,"Carol Stream, IL",#26 QB,78
Brian Slay,Stone Bridge High School,"Ashburn, VA",#41 DE,78
Ricky Dowdy,High Point Central High School,"High Point, NC",#31 OLB,78
Rashard Smith,Dublin High School,"Dublin, GA",#53 ATH,78
Chris Ward,Starrs Mill High School,"Fayetteville, GA",#13 K,78
Everett Proctor,Jack Britt High School,"Fayetteville, NC",#44 ATH,78
Baker Swedenburg,Heritage Academy,"Columbus, MS",K(LQ),78
Josh Boyd,Philadelphia High School,"Philadelphia, MS",#37 DT,78
LaDarius  Perkins,Saint Joseph Catholic School,"Greenville, MS",#48 ATH,78
Dennis Thames,Louisville High School,"Louisville, MS",#58 ATH,78
Fletcher Cox,Yazoo City High School,"Yazoo City, MS",#36 DE,78
Donald Spencer,Ypsilanti High School,"Ypsilanti, MI",#51 WR,78
Jairus Jones,Wharton High School,"Tampa, FL",#37 S,78
C.J. Crawford,Huntington High School,"Huntington, WV",#65 ATH,78
Carneal Ainsworth,Parkview Baptist High School,"Baton Rouge, LA",#19 OG,78
Barkevious Mingo,West Monroe High School,"West Monroe, LA",#34 OLB,78
Dominique Allen,Henry County High School,"Paris, TN",#57 RB,78
Tahj Jones,Sulphur High School,"Sulphur, LA",#40 OLB,78
Chris Garrett,Tupelo High School,"Tupelo, MS",#27 QB,78
Orwin Smith,Central High School,"Phenix City, AL",#52 RB,78
Antonio Foster,Valdosta High School,"Valdosta, GA",#28 OT,78
Derek Carr,Bakersfield Christian High School,"Bakersfield, CA",#30 QB,78
Wayne Times,Miami Northwestern High School,"Miami, FL",#53 ATH,78
Ben Axon,Manatee High School,"Bradenton, FL",#44 RB,78
Matt Milner,Cardinal Gibbons High School,"Raleigh, NC",#48 DE,78
Justin Jones,Heritage High School,"Conyers, GA",#30 TE,78
Sean Schroeder,Dana Hills High School,"Dana Point, CA",#29 QB,78
Taylor Sowell,Dorman High School,"Spartanburg, SC",#27 CB,78
Tyler Shatley,East Burke High School,"Connelly Springs, NC",#17 TE,78
Kyle Van Noy,McQueen High School,"Reno, NV",#63 ATH,78
Jim Noel,Everett High School,"Everett, MA",#39 S,78
Rolandan Finch,Saint Xavier High School,"Louisville, KY",#47 RB,78
Joe Southwick,San Ramon Valley High School,"Danville, CA",#25 QB,78
Skyler Scott,Lancaster High School,"Lancaster, TX",#53 WR,78
Jeramie Roberts,South Garland High School,"Garland, TX",#17 OG,78
Jacob Green,Wyoming High School,"Wyoming, OH",#27 TE,78
Reggie Taylor,Peach County High School,"Fort Valley, GA",#28 CB,78
Harris Gaston,Bessemer Academy,"Bessemer, AL",#42 OLB,78
Jamontay Pilson,Greenville High School,"Greenville, AL",#39 DE,78
Chris  Coyle,Oaks Christian High School,"Westlake Village, CA",#23 TE,78
Osahon Irabor,Upland High School,"Upland, CA",#23 CB,78
Terence Davis,Fremont Ross High School,"Fremont, OH",#41 WR,78
Travelle Davis,Apopka High School,"Apopka, FL",#53 RB,78
Jonathan Simmons,Eaton High School,"Eaton, OH",#12 K,78
Alex Wulfeck,The Bolles School,"Jacksonville, FL",#15 K,78
Tanner  Poppe,Girard High School,"Girard, KS",#31 TE,78
Rod Woodson,Olive Branch High School,"Olive Branch, MS",#35 OLB,78
Jerome Swinton,Milford Academy,"Daytona Beach, FL",WR(POST),78
Nate Meyer,Bettendorf High School,"Bettendorf, IA",#10 K,78
Ryan Stokes,Merrillville High School,"Merrillville, IN",#14 K,78
Sean Conway,Father Ryan High School,"Nashville, TN",#40 OG,77
Pat Eger,Thomas Jefferson High School,"Jefferson Hills, PA",#43 OT,77
Patrick Miller,Hoover High School,"Hoover, AL",#29 CB,77
Terence Garvin,Loyola Blakefield High School,"Baltimore, MD",#65 S,77
Branko Busick,Steubenville High School,"Steubenville, OH",#28 ILB,77
Jonathan Scott,Seabreeze Senior High School,"Daytona Beach, FL",#74 S,77
Jimmy Newman,Oxford High School,"Oxford, AL",#21 K,77
Whit Barnes,Rocky Mount Senior High School,"Rocky Mount, NC",#6 OC,77
Daniel Mack,Dade Christian High School,"Miami, FL",#57 OLB,77
Duran Lowe,Plant City High School,"Plant City, FL",#61 OLB,77
Quan Rucker,West Iredell High School,"Statesville, NC",#79 WR,77
Jerrodd Williams,D. W. Daniel High School,"Central, SC",#31 CB,77
Andrew Miller,Bassett High School,"Bassett, VA",#45 OG,77
Duan Perez-Means,Hermitage High School,"Richmond, VA",#35 TE,77
Nubian Peak,Pulaski County High School,"Dublin, VA",#64 RB,77
James Hopper,Seventy-First Senior High School,"Fayetteville, NC",#34 CB,77
David Wang,Stone Bridge High School,"Ashburn, VA",#46 DT,77
Mylon Brown,Pasco High School,"Dade City, FL",#47 OT,77
Jay Fullam,The McCallie School For Boys,"Chattanooga, TN",#87 S,77
Mason Johnston,The Bolles School,"Jacksonville, FL",#42 TE,77
Luke Ruff,Douglas County High School,"Castle Rock, CO",#79 S,77
Montee Ball,Timberland High School,"Wentzville, MO",#74 RB,77
Brian Wozniak,Loveland High School,"Cincinnati, OH",#38 TE,77
Ryan Groy,Middleton High School,"Middleton, WI",#37 OG,77
Nathan Fellner,Clovis West High School,"Fresno, CA",#85 S,77
James Johnson,Valley Center High School,"Escondido, CA",#72 ATH,77
Luke Bowanko,Centreville High School,"Clifton, VA",#38 OT,77
Brent Urban,"t., CANLorne Park Secondary School","Mississauga, On",#59 DE,77
Quintin Hunter,Orange County High School,"Orange, VA",#80 ATH,77
Corey Lillard,Liberty High School,"Bealeton, VA",#76 S,77
Siosaia Tuipulotu,Trinity High School,"Euless, TX",#41 DT,77
Percy Taumoelau,Cottonwood High School,"Salt Lake City, UT",#52 OT,77
Jack Jewell,Norman High School,"Norman, OK",#52 DT,77
Garrett Porter,Permian High School,"Odessa, TX",#37 OT,77
Tevin Mims,Stony Point High School,"Round Rock, TX",#60 DE,77
Daniel Hood,Knoxville Catholic High School,"Knoxville, TN",#66 DE,77
Mike Edwards,Glenville High School,"Cleveland, OH",#36 CB,77
Kevin Revis,Rhea County High School,"Evensville, TN",#37 OG,77
Marlon Walls,Hargrave Military Academy,"Olive Branch, MS",OLB(POST),77
Tracy Lampley,Wayne County High School,"Waynesboro, MS",#59 RB,77
Simione Vehikite,Kapolei High School,"Kapolei, HI",#7 FB,77
Luke  Sager,Niceville Senior High School,"Niceville, FL",#55 DE,77
Sam Barrington,Terry Parker High School,"Jacksonville, FL",#47 OLB,77
Tyrone Williams,Thomasville High School,"Thomasville, GA",#56 OLB,77
Anthony Hill,Pensacola High School,"Pensacola, FL",DT(LQ),77
Sterling Griffin,Monsignor Edward Pace High School,"Opa Locka, FL",#71 WR,77
Kendall Kelly,Gainesville High School,"Gainesville, FL",#42 OT,77
Quin Smith,Hibriten High School,"Lenoir, NC",#66 OLB,77
Jimmy  Legree,Beaufort High School,"Beaufort, SC",#70 ATH,77
DeAngelo Smith,Camden County High School,"Kingsland, GA",#77 WR,77
Leon Mackey,Hargrave Military Academy,"Wilmington, DE",#42 DT,77
Tyrone Ezell,Steel Valley High School,"Munhall, PA",#48 DT,77
Juantez Hollins,Aliquippa High School,"Aliquippa, PA",#35 OG,77
Raymond Graham,Elizabeth High School,"Elizabeth, NJ",#66 RB,77
Ed Tinker,North Carolina Tech,"Pittsburgh, PA",WR(POST),77
Dion Lewis,Blair Academy,"Albany, NY",#81 RB,77
Boseko Lokombo,"C., CANW.J. Mouat Secondary School","Abbotsford, B.",#62 OLB,77
Everett Benyard,Cathedral Catholic High School,"San Diego, CA",#48 OT,77
Diante Jackson,Las Lomas High School,"Walnut Creek, CA",#70 WR,77
Braxton Lane,Sandy Creek High School,"Tyrone, GA",#79 WR,77
Terry Franklin,Mansfield Legacy High School,"Mansfield, TX",#57 DE,77
Alex Bullard,Brentwood Academy,"Brentwood, TN",#50 OG,77
Jordan Cowart,Saint Thomas Aquinas High School,"Fort Lauderdale, FL",#67 ATH,77
Curtis Campbell,Grassfield High School,"Chesapeake, VA",#62 S,77
Jerrell Rhodes,Charles E. Jordan Senior H. S.,"Durham, NC",#76 RB,77
Ray Ray Davis,Sun Valley High School,"Indian Trail, NC",#72 WR,77
Brennan Williams,Catholic Memorial High School,"West Roxbury, MA",#36 OT,77
Darren Jones,Thornton Township High School,"Harvey, IL",#38 QB,77
Demond Dennis,Carver High School,"Atlanta, GA",#58 RB,77
Emmanuel Yeager,Calvin Coolidge High School,"Washington, DC",#34 QB,77
Lazarri Middleton,Long Beach Polytechnic High School,"Long Beach, CA",#41 CB,77
Tavon Bolden,Aldine High School,"Houston, TX",#64 S,77
Chris Freeman,Trotwood-Madison High School,"Trotwood, OH",#49 OT,77
Charles Sawyer,Coral Reef High School,"Miami, FL",#38 CB,77
Michael Brown,Lexington High School,"Lexington, TX",#46 OG,77
Tim Simon,Cordova High School,"Cordova, AL",#61 RB,77
Gabriel Hunter,Kingsbury High School,"Memphis, TN",#71 RB,77
Mike Marry,Largo High School,"Largo, FL",#51 OLB,77
Joel Kight,Martin Luther King High School,"Lithonia, GA",#47 OLB,77
Bo Tillman,Mississippi Elite Christian Academy,"Meadville, MS",DT(LQ),77
Artice Kellam,Gulliver Prep School,"Miami, FL",#75 S,77
D.T.  Shackelford,Austin High School,"Decatur, AL",#20 ILB,77
Kenny Watkins,Brother Rice High School,"Birmingham, MI",#72 S,77
Brent Singleton,American Heritage High School,"Plantation, FL",#59 OLB,77
Michael Schofield,Carl Sandburg High School,"Orland Park, IL",#40 OT,77
Thomas Gordon,Cass Technical High School,"Detroit, MI",#77 ATH,77
Vincent Smith,Pahokee High School,"Pahokee, FL",#60 RB,77
Jeremy Gallon,Apopka High School,"Apopka, FL",#80 ATH,77
Mike Jones,Edgewater High School,"Orlando, FL",#54 S,77
Brendan Gibbons,Cardinal Newman High School,"West Palm Beach, FL",#16 K,77
Luther Robinson,Fort Pierce Westwood High School,"Fort Pierce, FL",#43 DT,77
Randy Powell,Kingsbury High School,"Memphis, TN",#72 S,77
Brooks Johnson,Decatur High School,"Decatur, AL",#36 TE,77
Reuben Corley,South Panola High School,"Batesville, MS",#5 FB,77
Ricky  Hart,Charlton County High School,"Folkston, GA",#42 OG,77
Avery  Murray,West Florence High School,"Florence, SC",#53 OLB,77
C.J. Brown,Seneca Valley High School,"Cranberry, PA",#35 QB,77
Caleb Porzel,Good Counsel High School,"Wheaton, MD",#68 RB,77
Mike Privott,Lake Taylor High School,"Norfolk, VA",#31 ILB,77
Malcolm Mitchell,Dunwoody High School,"Dunwoody, GA",#65 DE,77
Richard Lee,Lake Gibson High School,"Lakeland, FL",#82 S,77
Terrell Mitchell,McEachern High School,"Powder Springs, GA",#41 TE,77
Anthony Kendrick,Seven Lakes High School,"Katy, TX",#33 TE,77
Dakotah Tyler,Pike High School,"Indianapolis, IN",#78 S,77
Larry Warford,Madison Central High School,"Richmond, KY",#51 OG,77
Darian Kelly,Girard High School,"Girard, KS",#58 S,77
D.J. Beshears,Denton High School,"Denton, TX",#76 WR,77
Riley Spencer,Hesston High School,"Hesston, KS",#41 OG,77
Deshaun Sands,Monarch High School,"Coconut Creek, FL",#67 RB,77
Prinz Kande,Trinity High School,"Euless, TX",#45 S,77
Huldon Tharp,Mulvane High School,"Mulvane, KS",#68 ATH,77
Bradley McDougald,Dublin Scioto High School,"Dublin, OH",#70 S,77
Chris Omigie,Martin High School,"Arlington, TX",#69 WR,77
Nolan MacMillan,"tario, CANThe Hun School Of Princeton","Toronto, On",OT(POST),77
Nathan Scheelhaase,Rockhurst High School,"Kansas City, MO",#37 QB,77
Tommie Hopkins,East St. Louis High School,"East Saint Louis, IL",#37 CB,77
Steve Hull,Sycamore High School,"Cincinnati, OH",#63 WR,77
Thomas Bates,Robert E. Lee High School,"Baytown, TX",#57 S,77
Chauncy Makainai,Kailua High School,"Kailua, HI",#52 OG,77
Derrick Lott,North Cobb High School,"Kennesaw, GA",#44 DT,77
Rantavious Wooten,Glades Central High School,"Belle Glade, FL",#78 ATH,77
Stephen Alli,Proctor Academy,"Andover, NH",#59 WR,77
Kedric Johnson,Palmetto High School,"Palmetto, FL",#64 DE,77
Kyle Koehne,Cathedral High School,"Indianapolis, IN",#56 OG,77
Leon Kinnard,Loyola Blakefield High School,"Baltimore, MD",#82 ATH,77
Jarrod Darden,Keller High School,"Keller, TX",#78 WR,77
Gus Handler,Barrington High School,"Barrington, IL",#50 OT,77
Derrick Webb,Whitehaven High School,"Memphis, TN",#58 OLB,77
Parker Orms,Wheat Ridge High School,"Wheat Ridge, CO",#60 S,77
Clark Evans,Los Alamitos High School,"Los Alamitos, CA",#31 QB,77
Jordan Stepp,Ben Davis High School,"Indianapolis, IN",#49 DT,77
Mitch Kessel,Seaholm High School,"Birmingham, MI",#42 TE,77
Reuben Johnson,Winslow Township High School,"Atco, NJ",ATH(LQ),77
Maalik Bomar,Winton Woods High School,"Cincinnati, OH",#65 OLB,77
Javen Harris,Eufaula High School,"Eufaula, AL",#27 ILB,77
Jonathan Davis,Tucker High School,"Tucker, GA",#67 OLB,77
Todd Golper,Arcadia High School,"Arcadia, CA",#22 ILB,77
Greg Capella,El Diamante High School,"Visalia, CA",#32 OG,77
Jayson Allmond,Bloomington High School,"Bloomington, CA",#8 FB,77
Brandon Sermons,Diamond Ranch High School,"Pomona, CA",#33 CB,77
Stanjarivus McKay,Long Beach Polytechnic High School,"Long Beach, CA",#50 S,77
Ricky Marvray,Centennial High School,"Corona, CA",#56 WR,77
Keenan Graham,Silverado High School,"Las Vegas, NV",#56 DE,77
Charles  Ragland,J. K. Mullen High School,"Denver, CO",#34 OT,77
Dasarte Yarnway,Sacred Heart Cathedral Prep.,"San Francisco, CA",#79 RB,77
Steven Fanua,Milpitas High School,"Milpitas, CA",#26 ILB,77
Austin Moss,Rockwall-Heath High School,"Garland, TX",#24 ILB,77
Jerry Mitchell,Mandeville High School,"Mandeville, LA",#67 S,77
DeQuinta Jones,Bastrop High School,"Bastrop, LA",#60 DE,77
Turrell Williams,West Helena Central High School,"West Helena, AR",#63 RB,77
Daniel Jenkins,Rancho Verde High School,"Moreno Valley, CA",#72 RB,77
David Conner,South Panola High School,"Batesville, MS",#62 S,77
Kevin Norwood,D'Iberville High School,"Biloxi, MS",#66 WR,77
Jermaine Preyear,Davidson High School,"Mobile, AL",FB(LQ),77
Chris Henderson,Milford Academy,"Harrisburg, PA",#40 DT,77
Stephen Barnett,The Bolles School,"Jacksonville, FL",#68 RB,77
Antonio Harper,Hargrave Military Academy,"Memphis, TN",DE(POST),77
Dontavious Pyron,Chamberlain High School,"Tampa, FL",#47 DT,77
Vinson Bass,Cedar Grove High School,"Ellenwood, GA",#51 DT,77
Carlos Lammons,Pahokee High School,"Pahokee, FL",#44 S,77
Storm Klein,Licking Valley High School,"Newark, OH",#73 ATH,77
Jordan Whiting,Trinity High School,"Louisville, KY",#29 ILB,77
Will Ford,Cooper High School,"Abilene, TX",#50 S,77
Yahshua Williams,Billy Ryan High School,"Denton, TX",#80 S,77
Kerry Hyder,Lyndon B. Johnson High School,"Austin, TX",#23 ILB,77
Trevor  Reilly,Valley Center High School,"San Diego, CA",DE(LQ),77
Daniel Cobb,Ellison High School,"Killeen, TX",#48 S,77
Aaron Fisher,Fossil Ridge High School,"Keller, TX",#58 WR,77
James Scott,Coldspring-Oakhurst High,"Coldspring, TX",#73 ATH,77
Casey Pachall,Brownwood High School,"Brownwood, TX",#32 QB,77
John Wooldridge,Episcopal High School,"Bellaire, TX",#47 OG,77
Ty Horn,Midway High School,"Waco, TX",#44 OT,77
Desmond Gardiner,Memorial High School,"Port Arthur, TX",#29 CB,77
Colton Valencia,Hightower High School,"Sugar Land, TX",#35 CB,77
Jonathan Stewart,C. E. Byrd High School,"Shreveport, LA",#64 OLB,77
Steven Campbell,Jersey Village High,"Houston, TX",#67 S,77
Dustin Harris,Livingston High School,"Livingston, TX",#76 ATH,77
Evangelos Regas,Toms River North High School,"Toms River, NJ",#53 OG,77
Rishard Anderson,American Heritage High School,"Plantation, FL",#40 CB,77
Zack Chibane,Paramus High School,"Paramus, NJ",#51 OT,77
Kevin Danser,Bellarmine College Prep,"San Jose, CA",#33 OG,77
Geoff Meinken,Lynnwood High School,"Lynnwood, WA",#62 DE,77
Drew Terrell,Hamilton High School,"Chandler, AZ",#82 WR,77
Tyler Gaffney,Cathedral Catholic High School,"San Diego, CA",#76 RB,77
Robert Joseph,Poly Prep Ctry. Day School,"Brooklyn, NY",#6 FB,77
Mark Harrison,Frank Scott Bunnell High School,"Stratford, CT",#75 WR,77
Quron Pratt,Palmyra High School,"Palmyra, NJ",#38 CB,77
Chris Boswell,Keller High School,"Keller, TX",#18 K,77
Eric Williams,Manatee High School,"Bradenton, FL",#56 WR,77
Curtis Dukes,Indian River High School,"Philadelphia, NY",#64 RB,77
Frank Figueroa,Thomas A. Edison High School,"Alexandria, VA",#49 OG,77
Stephon Morris,Eleanor Roosevelt High School,"Greenbelt, MD",#41 CB,77
Devon Smith,Westlake High School,"Waldorf, MD",#82 ATH,77
Joshua Andrews,Colony High School,"Ontario, CA",#44 OG,77
Markus Wheaton,Chandler High School,"Chandler, AZ",#66 WR,77
Brandon Webb,Owasso High School,"Owasso, OK",#35 OG,77
Michael Bowie,Charles Page High School,"Sand Springs, OK",#45 DT,77
LeRon Furr,Carver High School,"Columbus, GA",#31 ILB,77
Xavier Hughes,Seneca Valley High School,"Germantown, MD",#85 S,77
Arby Fields,Los Osos High School,"Rancho Cucamonga, CA",#81 RB,77
Davion  Fleming,Upland High School,"Upland, CA",#61 S,77
Jeff Budzien,Arrowhead High School,"Hartland, WI",#19 K,77
Will Studlien,Big Walnut High School,"Sunbury, OH",#25 ILB,77
Quintin Payton,T. L. Hanna High School,"Anderson, SC",#62 WR,77
Donald Coleman,The Hun School Of Princeton,"Orchard Lake, MI",S(POST),77
Deion Roberson,Tucker High School,"Tucker, GA",#50 DT,77
Bryan Underwood,Cleveland Heights High School,"Cleveland, OH",#73 WR,77
Tyler Russell,Meridian High School,"Meridian, MS",#38 QB,77
Chris Smith,Meridian High School,"Meridian, MS",#63 WR,77
Denicos Allen,Hamilton High School,"Hamilton, OH",#53 OLB,77
Micajah Reynolds,Sexton High School,"Lansing, MI",#33 OG,77
Bennie Fowler,Detroit Country Day School,"Detroit, MI",#81 WR,77
Blake Treadwell,East Lansing High School,"East Lansing, MI",#48 OG,77
Henry Conway,Shaker Heights High School,"Shaker Heights, OH",#39 OG,77
Brian Slack,Archbishop Hoban High School,"Akron, OH",#40 TE,77
Pat Hinkel,Saint Ignatius High School,"Cleveland, OH",#45 S,77
B.J. Stevens,Gateway High School,"Monroeville, PA",#58 DE,77
A.J. Graham,Godby High School,"Tallahassee, FL",#33 QB,77
